Molecule,SMILES_E1,SMILES_X1,SMILES_Y1,Ratio_X1,Ratio_Y1,Condition_Type,Condition_Val,Time_min,Temp_K,Alpha,Rate_1_min
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,23.840000000000003,493.9800000000004,0.7887688645934141,0.0082000762041598
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,1.1100000000000003,437.25,0.0514006224988886,0.0477088916395275
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Dyn,5.0,1.91,444.9500000000002,0.0926350699586107,0.0545921527636656
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Dyn,2.5,8.370000000000001,455.15,0.3912811834022816,0.0557070327190673
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,160.0,38.0,433.18,0.7390527587483287,0.0093440253676458
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,165.0,81.51500000000014,438.16,0.989131267121342,0.001081824772262
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,8.476179191463068,521.3606129026492,0.9513557388811386,0.0206095028105591
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,4.0839927035658405,477.3435935480302,0.3251095180324103,0.1334195184684804
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Iso,180.0,10.128324999999991,453.2,0.8192957358706665,0.0279999370959263
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,160.0,67.0,433.17,0.912079575980876,0.0034273452120707
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,10.0,10.11,539.41,0.9468888186986733,0.0164245104232486
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Iso,170.0,37.21080000000003,443.1714965060241,0.9794067286778656,0.002462416506228
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Iso,170.0,4.608600000000001,443.2159646107784,0.2479901632461288,0.0509788267992765
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,8.29,521.3199999999999,0.8105031572250201,0.0724908999287768
